,상권_코드,상권_코드_명,위도,경도,총_유동인구_수,당월_매출_금액
653,3110616,양목초등학교,37.5230652390491,126.86214660798908,218098,127694177
654,3110646,푸른들청소년도서관,37.54405127997964,126.83536920594427,1680543,7806236907
655,3110647,화곡역 5번,37.5386573219103,126.8375535045462,2365541,2945133112
656,3110648,양천향교역 7번,37.566940159049786,126.83794486723104,131840,10684451030
657,3110794,영동초등학교,37.52769618737838,126.9082956812492,1009640,2258100012
658,3110795,도림초등학교,37.50888390866796,126.9091556622347,1038367,205849506
659,3110796,한림대학교한강성심병원,37.52370525165795,126.90894538092166,110678,396773992
660,3110797,KT대방빌딩,37.49592733165793,126.90900173377103,333899,1358510296
661,3110596,서서울호수공원,37.52933251430504,126.8315097591216,611946,2148309880
662,3110597,신월1동주민센터,37.53460392914984,126.83190521052514,1127773,4734413573
663,3110598,신월문화체육센터,37.51957726844986,126.8333416013457,539470,4376889276
664,3110599,신월1파출소,37.53101175155089,126.83389315774004,902009,1129571898
665,3110416,노원초등학교,37.67269635062585,127.05719700834392,865914,6526088305
666,3110417,월계역 3번,37.63272832724608,127.05808401363568,359888,500823684
667,3110418,광운대학교 남단,37.61777199035563,127.05799308954444,944603,657458589
668,3110465,연신내역 7번,37.62142443927846,126.9175257181981,1209513,3751351935
669,3110701,고척동성당,37.50544781442397,126.85975871674792,660232,3639374162
670,3110702,개봉초등학교,37.48854391817313,126.85889705315547,1546158,1128437417
671,3110627,신정롯데캐슬아파트,37.519996696799005,126.87366784052162,1430472,9971641888
672,3110628,신목동역,37.54516805947765,126.87981510484772,382359,1133481
673,3110630,공항시장역 1번,37.56531932367912,126.80849682132224,1452037,4691268602
674,3110631,방화초등학교,37.569033801931774,126.80997014983072,599983,1586610856
675,3110656,까치산역 3번,37.52876264452878,126.84296009158732,5842210,16735382516
676,3110657,양천향교역 5번,37.56653329038731,126.84357129242574,709569,15061507789
677,3110658,화곡초등학교,37.54528194540314,126.84598070839382,646640,2881064966
678,3110659,화곡역 4번,37.54056131421404,126.84644302224991,4474855,11336173155
679,3110714,구로4동주민센터,37.49132429193936,126.88919631652536,1456334,15347889987
680,3110727,독산역 1번 출입구,37.4646654230754,126.89133814646829,511910,623160774
681,3110728,두산초등학교,37.46734184716617,126.89179773823687,207727,1738556288
682,3110729,가산동우체국,37.47802914720058,126.8932520648618,701537,4498353511
683,3110777,구로세무서,37.51406753976341,126.90148046698552,305803,84066931
684,3110753,시흥동 은행나무사거리,37.4488491293636,126.90844852214424,944899,8763270358
685,3110754,삼성산자연공원(서울금천초등학교),37.453237704979706,126.90927951506106,1258635,4609993217
686,3110687,"천왕역 3번(오류2동주민센터, 서울오류남초등학교)",37.4881747325505,126.83800209949736,206687,214093307
687,3110688,오류지구대,37.49536562485887,126.83863113866649,589100,823556929
688,3110715,구로구민회관,37.497252236455466,126.88847512035332,306615,696546657
689,3110716,구로나눔길,37.49390980603042,126.88879671563532,393733,4822236282
690,3110717,남구로역 2번,37.48428725232737,126.88901449779476,2805158,10170052949
691,3110763,영등포구청역 2번,37.526396303959714,126.89457467467606,536657,4053698532
692,3110764,문래역 3번,37.52091833908793,126.8947181280215,70261,1184937003
693,3110671,등촌1동주민센터,37.55565994906193,126.8592232956464,1706589,25765150813
694,3110672,백석중학교,37.5466324179359,126.85961370194514,850771,54774008
695,3110673,뜸부기어린이공원,37.53041452973515,126.85970067142664,696635,4616379410
696,3110674,강서구청가양동별관,37.56098595628063,126.86016400106026,64334,1833884624
697,3110813,보라매역 6번,37.50101636484535,126.91911721349943,1463836,3490340028
698,3110814,서울지방병무청,37.507496332940526,126.92170023319794,1288381,2851363836
699,3110649,우장산역 1번,37.55298352357683,126.83779402108571,1012045,7951168064
700,3110740,금천해태공원,37.45862856769765,126.9015306365174,1402260,2333508318
701,3110741,독산2동주민센터,37.46383656022357,126.9017046630445,165231,4815659496
702,3110742,KT금천빌딩(금천구시설관리공단),37.44707867860115,126.90285669090942,69923,2188882949
703,3110798,신풍역 2번,37.49861245831046,126.90916810677236,150667,381356564
704,3110765,문래동사거리,37.51143147963066,126.89551189177746,318362,1099389746
705,3110766,대림역 5번,37.496178287632986,126.89644912574266,1224017,3235901754
706,3110767,도림동주민센터,37.51013460386422,126.8961583972878,231151,118873176
707,3110600,신월7동주민센터,37.522777960294526,126.83486165433128,441230,4516716779
708,3110466,구산역 2번,37.60844156286348,126.91804969701305,938012,1498684358
709,3110467,은평요양병원,37.62484029093253,126.9191304983758,264115,5906106187
710,3110514,서대문우체국,37.55953597042736,126.93280530945287,785534,711650006
711,3110650,우장산힐스테이트,37.55510210039809,126.83869481098496,67289,896817348
712,3110651,화원중학교,37.53644305357172,126.83915364557924,481020,5761018985
713,3110652,양천향교역 2번,37.5708890530949,126.83980405551264,368642,1672579753
714,3110799,영등포본동주민센터,37.51338058174546,126.91002115746218,152059,89541206
715,3110800,영등포동성당,37.52126449878274,126.91020399762098,155794,258852606
716,3110802,신길동홍어거리,37.51037308349919,126.91249046187012,547283,515451227
717,3110601,신월1동우편취급국,37.52795203678687,126.83653591090076,1406163,4346669341
718,3110602,신월시영아파트중문,37.51893473793061,126.83778857051472,199804,722487135
719,3110603,지향초등학교,37.512549854396376,126.84015504526609,92165,2663503443
720,3110660,등촌3동주민센터,37.55832107704375,126.84728936932454,884089,18893489977
721,3110778,구로디지털단지역 4번,37.488623948891146,126.90245239287532,1158459,8673133857
722,3110779,대림갑을명가아파트,37.49624685997714,126.90292873946542,121504,99335005
723,3110611,신정역 1번,37.52646456834661,126.85672145126978,1306301,1139083757
724,3110784,신대림초등학교,37.49189581564384,126.90392945139324,180716,197906433
725,3110785,영등포푸르지오아파트,37.5091772342772,126.90408827327902,1188340,2925438496
726,3110617,등촌역 4번,37.54629633318375,126.86501203740984,490110,128159730
727,3110618,강서고등학교,37.53519645860335,126.86539410373967,1600773,1573291076
728,3110619,목4동주민센터,37.53147591380736,126.86590990704704,370675,1453954328
729,3110632,방화역 3번,37.57478402665346,126.81114416473984,499963,5359371149
730,3110633,개화산역 1번,37.57277331235714,126.810209687204,72488,1704354097
731,3110634,송정역 3번,37.55741644453887,126.81340625888836,1660008,14161140947
732,3110661,강서새말어린이공원,37.55223991977548,126.84773181802537,275552,54027906
733,3110662,까치산역 1번,37.53485244846705,126.84913619684755,1915817,4111919917
734,3110718,한국SGI본부,37.503462343662285,126.89080694582884,1071442,14339053101
735,3110745,독산동정훈단지,37.46594683806725,126.90403048852814,392584,5152329697
736,3110746,금천금빛공원(은행나무사거리서측),37.451774280596055,126.90447806264076,193939,2045640921
737,3110747,석수역 1번 출입구,37.43459211622573,126.90470328680756,145943,1750435958
738,3110675,화곡4동주민센터,37.53623598406385,126.86053834758106,1738709,1637036926
739,3110676,등촌역 7번,37.54994962347848,126.86090887758044,196386,270605348
740,3110677,등촌역 1번,37.55366734475919,126.86575698649337,264386,1752164935
741,3110678,염창무학아파트,37.55022800309099,126.87626490361212,158036,647933275
742,3110679,염창역 2번,37.54833680854631,126.87712806513224,205805,1442363715
743,3110680,온수역 5번(온수산업단지),37.49311994948703,126.8185078878857,199867,2480901837
744,3110689,오류동역 3번,37.497605663708185,126.84274264528946,957224,2197360911
745,3110690,오류2동버들시장,37.49227211395636,126.84304783057684,1391821,10903343845
746,3110691,개봉중학교,37.50249143401964,126.84449665369102,468060,2895179698
747,3110719,영서중학교,37.48867850808619,126.8926376285484,292540,168665961
748,3110720,대림역 2번,37.4929406764136,126.89308384367952,848590,6129499966
749,3110721,가리봉파출소,37.47955160492264,126.89297855818604,1106906,624421350
750,3110768,도림2동유수지내체육시설,37.50701791437905,126.89705620583167,257764,329855960
751,3110817,대방역 4번,37.51369602690586,126.9228927254962,361681,673032118
752,3110818,신대방역 3번,37.48674695130216,126.91015487331812,362180,266261515
753,3110819,신대방역 4번,37.48877490125431,126.91105702584524,901360,8587634496
754,3110820,성남고등학교,37.504353122909095,126.9236826987537,807995,3832061451
755,3110730,서울축산농협 독산역지점(독산파출소),37.46490291619055,126.89490976198287,582989,9272854549
756,3110731,금천구청역 1번 출입구,37.45509224627107,126.89643798420332,350439,4193998477
757,3110732,가산초등학교(세일중학교),37.47590652203581,126.8974945811542,517849,5279162515
758,3110743,시흥초등학교(시흥1동우체국),37.45541423177664,126.90430389990269,824318,3181779666
